gene,coef,description
CHCHD5,-0.00432584017475756,coiled-coil-helix-coiled-coil-helix domain containing 5 [Source:HGNC Symbol;Acc:HGNC:17840]
ERBB2,0.00175680536408356,erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]
LRP8,-0.0022227934756367,LDL receptor related protein 8 [Source:HGNC Symbol;Acc:HGNC:6700]
MGST3,-0.00316798782422698,microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]
ZNF518B,-0.00546505094537545,zinc finger protein 518B [Source:HGNC Symbol;Acc:HGNC:29365]
