gene,coef,description
ACAA2,-0.0827033533949489,acetyl-CoA acyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:83]
BAIAP3,-0.0742866375311743,BAI1 associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
EVI5L,0.121514296747571,ecotropic viral integration site 5 like [Source:HGNC Symbol;Acc:HGNC:30464]
LOC729603,-0.080785940526281,NA
MAF,0.0520478396865778,MAF bZIP transcription factor [Source:HGNC Symbol;Acc:HGNC:6776]
NAIF1,-0.133026439172737,nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]
RAC2,0.097023822075434,Rac family small GTPase 2 [Source:HGNC Symbol;Acc:HGNC:9802]
