gene,coef,description
C16orf48,-0.0124812649400977,NA
DGKA,0.0111567316532835,diacylglycerol kinase alpha [Source:HGNC Symbol;Acc:HGNC:2849]
ICAM3,0.0242667374975582,intercellular adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:5346]
ITK,0.00973354461167123,IL2 inducible T cell kinase [Source:HGNC Symbol;Acc:HGNC:6171]
KIF26A,0.000136669951563998,kinesin family member 26A [Source:HGNC Symbol;Acc:HGNC:20226]
RPUSD3,-0.00896438485427239,RNA pseudouridylate synthase domain containing 3 [Source:HGNC Symbol;Acc:HGNC:28437]
STK24,-0.014139290099418,serine/threonine kinase 24 [Source:HGNC Symbol;Acc:HGNC:11403]
ZNF167,-0.000427153814347585,NA
